Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DOW,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,WBA,DIS
2019-08-30,158.89305114746094,119.49720001220703,207.6224365234375,359.8366394042969,117.2494888305664,115.2246322631836,46.119083404541016,54.235389709472656,41.40665817260742,66.7063217163086,201.53451538085938,225.0870819091797,132.56369018554688,46.919437408447266,126.66908264160156,108.2917251586914,215.235107421875,85.31413269042969,137.01824951171875,84.0468978881836,34.85368347167969,118.76138305664062,145.2884063720703,232.00973510742188,128.98074340820312,56.968196868896484,180.25657653808594,113.74978637695312,50.371150970458984,136.44253540039062
2019-09-03,155.8668975830078,116.74728393554688,204.59869384765625,350.2796325683594,115.3084716796875,113.80535888671875,45.813655853271484,54.49158477783203,40.6004753112793,66.78424072265625,196.65206909179688,221.29464721679688,131.1649932861328,46.49388885498047,127.04407501220703,107.01028442382812,214.4056396484375,85.49173736572266,135.2093505859375,84.21599578857422,35.41251754760742,119.87757110595703,145.8914794921875,228.65847778320312,127.72301483154297,56.85065460205078,178.64163208007812,114.12808227539062,49.623313903808594,135.49819946289062
2019-09-04,157.2718963623047,117.5414810180664,208.07003784179688,352.3649597167969,117.3480224609375,114.76459503173828,46.621551513671875,54.954715728759766,41.31924057006836,67.4953384399414,199.37991333007812,222.72547912597656,133.33641052246094,48.41381072998047,127.16249084472656,108.30158233642578,215.7584686279297,84.89974975585938,136.78965759277344,85.88697814941406,35.128204345703125,121.7049789428711,148.45201110839844,224.8015594482422,129.7829132080078,56.98778533935547,181.20361328125,115.39241790771484,50.60731506347656,137.06878662109375
2019-09-05,161.35916137695312,119.79502868652344,212.13812255859375,356.09088134765625,121.18079376220703,115.14633178710938,47.705318450927734,54.31421661376953,42.1157112121582,68.449951171875,204.637939453125,226.70005798339844,137.88461303710938,49.581607818603516,126.88618469238281,110.7658920288086,216.7360382080078,84.94908142089844,139.1948699951172,87.94588470458984,35.628211975097656,121.26048278808594,150.0140380859375,227.63723754882812,131.74375915527344,57.38938522338867,184.15438842773438,114.92451477050781,51.492919921875,138.01312255859375
2019-09-06,161.07424926757812,119.31851196289062,212.11822509765625,358.7593688964844,120.89505767822266,115.75318908691406,48.119117736816406,54.422607421875,41.99915313720703,69.09285736083984,204.7960662841797,229.6611328125,137.49337768554688,50.39311981201172,126.52106475830078,111.0024642944336,217.26925659179688,85.41279602050781,138.25067138671875,88.21443939208984,35.78507995605469,121.36913299560547,151.1015167236328,227.05226135253906,132.39736938476562,57.849754333496094,185.1612548828125,114.21768951416016,51.719242095947266,138.71890258789062
2019-09-09,163.03927612304688,119.05046081542969,213.0233612060547,354.5886535644531,125.37813568115234,116.8592300415039,47.86295700073242,53.72298812866211,43.1744270324707,69.63835144042969,209.510498046875,231.3900604248047,139.47894287109375,51.05618667602539,125.27764892578125,113.75263977050781,214.5340118408203,82.35424041748047,136.68032836914062,88.19454193115234,36.10861587524414,120.67768096923828,148.328369140625,228.71795654296875,132.81332397460938,57.457950592041016,180.9842987060547,115.81053924560547,54.70077133178711,138.00318908691406
2019-09-10,165.90823364257812,116.45938873291016,215.53981018066406,365.17352294921875,128.37339782714844,119.26708984375,48.48365783691406,53.60474395751953,44.99076461791992,70.20333099365234,213.11798095703125,231.5192413330078,141.8753204345703,51.283809661865234,127.8434066772461,115.20166015625,207.04910278320312,80.59803009033203,135.24911499023438,86.36441040039062,36.64784622192383,118.41565704345703,145.68446350097656,230.4828338623047,132.61524963378906,58.48643112182617,175.80050659179688,115.53179168701172,55.97013473510742,134.98129272460938
2019-09-11,165.14187622070312,117.14437866210938,222.39292907714844,378.4664306640625,131.13221740722656,118.70916748046875,49.29155349731445,53.969337463378906,45.53469467163086,70.06695556640625,214.27435302734375,231.18141174316406,140.45706176757812,52.2437744140625,129.4420623779297,115.51708984375,207.56259155273438,81.81158447265625,135.28884887695312,86.28483581542969,36.67725372314453,119.7886734008789,145.34649658203125,232.21795654296875,134.63551330566406,58.8978271484375,174.4347686767578,115.50192260742188,57.13125991821289,135.37890625
2019-09-12,167.59817504882812,118.15699005126953,221.89559936523438,371.2418212890625,129.8119354248047,118.84619903564453,49.193031311035156,54.30436325073242,45.62211227416992,70.11566162109375,216.19175720214844,232.3141632080078,140.47662353515625,52.46149444580078,128.7117919921875,116.22681427001953,209.4881134033203,82.19637298583984,136.68032836914062,87.19990539550781,36.549800872802734,121.27035522460938,147.4040069580078,228.14291381835938,136.1309356689453,59.191680908203125,177.42543029785156,116.39790344238281,54.6712532043457,136.6811065673828
2019-09-13,168.44314575195312,118.33567810058594,217.57884216308594,375.3235778808594,131.81207275390625,118.92450714111328,49.29155349731445,53.85770034790039,46.81681442260742,70.7585678100586,217.33822631835938,232.49301147460938,140.52552795410156,51.996360778808594,129.0572052001953,118.51368713378906,207.177490234375,82.04740142822266,136.48153686523438,86.8517837524414,36.18704605102539,120.6282958984375,145.426025390625,232.71533203125,136.72512817382812,58.73130798339844,176.7176513671875,116.90563201904297,55.0943717956543,137.19801330566406
